fund_name,fund_identifier
HDFC Mutual Fund - HDFC Small Cap Fund - Direct Growth Plan,AMFI/130503
HDFC Mutual Fund - HDFC Small Cap Fund - Regular Growth Plan,AMFI/130502
Kotak Mahindra Mutual Fund - Kotak Standard Multicap Fund - Growth,AMFI/112090
Kotak Mahindra Mutual Fund - Kotak Standard Multicap Fund - Growth - Direct,AMFI/120166
HDFC Mutual Fund - HDFC Top 100 Fund -Direct Plan - Growth Option,AMFI/119018
Tata Mutual Fund - Tata Large Cap Fund -Direct Plan Growth,AMFI/119160
Axis Mutual Fund - Axis Bluechip Fund - Direct Plan - Growth,AMFI/120465
Reliance Mutual Fund - Reliance Large Cap Fund - Direct Plan Growth Plan - Growth Option,AMFI/118632
SBI Mutual Fund - SBI Magnum Multicap Fund - DIRECT PLAN - Growth Option,AMFI/119718
Mirae Asset Mutual Fund - Mirae Asset Tax Saver Fund-Direct Plan -Growth,AMFI/135781
Tata Mutual Fund - Tata India Tax Savings Fund-Growth-Direct Plan,AMFI/132756
Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Tax Relief '96 - Growth - Direct Plan,AMFI/119544
DSP Mutual Fund - DSP Tax Saver Fund - Direct Plan - Growth,AMFI/119242
Axis Mutual Fund - Axis Long Term Equity Fund - Direct Plan - Growth Option,AMFI/120503
ICICI Prudential Mutual Fund - ICICI Prudential Long Term Equity Fund (Tax Saving) - Growth,AMFI/100354
